标题,视频简介,分类,bv号,av号,播放量,弹幕数,最高全站日排行,点赞,硬币,收藏,分享,up主,标签,时长,日期
HBL宝岛台湾篮球南山高中纪录片EP02：不存在尽力而为 只存在达到要求,"https://www.youtube.com/watch?v=1hBxFG_PPc4
转自youtube麦卡贝频道,侵权请告知，必删。
由于这一集的内容很好，所以我还是决定上传。如果本期点赞和投币没有超过上一集的话呢，就没有办法，只好等到节目完全播出后给大家搬运啦。",运动,BV1y7411Q7e9,100000577,1064,11,0,62,24,26,6,YMetro,#篮球##HBL##体育#如果本期点赞和投币没有超过上一集的话呢，就没有办法，只好等到节目完全播出后给大家搬运啦。,22:44,2020-03-28
崩坏三 血缘有多快乐？也就几个小时,"神恩60原典 糖誓牛
山吹碎星古古牛
黑希爱爱米
吐了，关底帝王恶心死我",手机游戏,BV1y7411Q7e1,100000585,194,0,0,6,2,0,1,派蒙的苹果,#崩坏3##手机游戏##深渊#,05:24,2020-03-28
【超清直播】JJ 林俊杰 327LOVEWISHES直播全程回放；嘉宾：陶喆 五月天 蔡健雅；主持人：黄子佼,"林俊杰微博
林俊杰：生日，雖然對自己而言重要的日子，
但327已經不單單只是屬於自己的日子，
而更重要來分享「愛與希望」的一天。
大家都正在為這一天做準備，
我想，親自陪伴辛苦的團隊，是最好的慶生方式！

林俊杰：有你們的參與，這首歌變得更完整
有你們在，327也變得更充實、更別具意義！",音乐现场,BV1y7411Q7eC,100000587,242,1,0,13,3,10,3,玉灵龖,#林俊杰##五月天##蔡健雅#,01:13:40,2020-03-29
「花枝鼠日常」被我硬生生抱住了,"虽然是硬生生拦住了回去的路 但是也是会在我怀里吃东西的了
哎 要是再主动点多好",动物圈,BV1y7411Q7eq,100000593,56,0,0,4,0,1,0,Jeanne33,#花枝鼠##铲屎官##可爱#,00:20,2020-03-28
【碳酸教父|深渊巨喉】教父加油！！,"https://www.youtube.com/watch?v=h3GMqVS-90A
???????????▄▄
???????????█?█
???????????█?█
??????????█??█
?????????█???█
███████▄▄█???██████▄
▓▓▓▓▓▓█????????????█
▓▓▓▓▓▓█????????????█
▓▓▓▓▓▓█???????????█
▓▓▓▓▓▓█???????????█
▓▓▓▓▓▓█??????????█
▓▓▓▓▓▓████",美食圈,BV1y7411Q7e6,100000598,33457,52,0,540,15,29,25,王理想,"教父来啦
#碳酸教父##深渊巨喉##BadlandsChugs#",01:48,2020-03-28
孩子玩迷你充钱，家长无力管制，客服电话空号,"我是来找迷你客服电话的
但是我看到了这张帖子
迷你真是死皮不要脸",其他,BV1y7411Q7e8,100000600,149,0,0,8,0,0,0,女娲造人的边角料,#全能打卡挑战# #吐槽# #手游#死皮不要脸的迷你，骗小孩的钱不给予退换，客服电话居然空号,00:22,2020-03-28
含?风摇?砚水，带雨拂墙衣?。获?奖佳?作?【泥绘石瓢】家?藏四?号?井紫泥●200cc作者：白洪?欣 国?家级助?理工?艺?美?术师,"含?风摇?砚水，带雨拂墙衣?。
获?奖佳?作?【泥绘石瓢】
家?藏四?号?井紫泥●200cc
作者：白洪?欣 国?家级助?理工?艺?美?术师
本件石瓢壶从壶式上?看?，壶形上小?下大，重心?下垂，造型沉?稳?，壶嘴?为矮?而?有力的直筒?形，出?水畅顺，急速有力?。壶?顶?设?平?压盖，桥钮，简洁利落，此壶选泥?讲究?，砂?色古?拙?，刻?绘雅致，极?富?文人气?息！",手工,BV1y7411Q7v7,100000618,3,0,0,0,0,0,0,茗砂艺陶紫砂艺术会馆,#手工制作##艺术##生活#,00:28,2020-03-29
龙龙暴打哈迪斯【无龙王】,好弟弟,网络游戏,BV1y7411Q7vg,100000625,23,0,0,0,0,0,0,妖刀日,#网络游戏##奥拉星##BOSS攻略#,01:50,2020-03-28
【合作转载】IP小站×T子钵钵球-IP小站又来送惊喜啦~内含福利！两只都送给你们~,"https://www.bilibili.com/video/BV1gJ411y7nj
【合作转载】IP小站×T子钵钵球-IP小站又来送惊喜啦~内含福利！两只都送给你们~
合作拆箱UP主：T子钵钵球，bv1gJ411y7nj
更多福利，请关注IP小站，喜欢的话请长按点赞三连，等你来哦！",日常,BV1y7411Q7vM,100000627,27,1,0,2,1,0,0,IP小站,#IP小站##拆盲盒##开箱#,03:54,2020-03-28
RJ的训练 - 2021选秀 来自新西兰破坏者,"来自RJ的INS和他的训练师的视频。
RJ’s Training video",运动,BV1y7411Q7Y2,100000642,22,0,0,1,0,0,0,3至30个字符以内就可以满足昵称的命名标准,驭帅13p ?,03:10,2020-03-28
王者荣耀：听说有人要挑战我的赵云，我某一刀接受挑战！直接站撸不带怂。,-,电子竞技,BV1y7411Q7vP,100000639,42,0,0,3,0,1,0,峡谷某一刀,#王者荣耀# #单挑# #赵云#,01:43,2020-03-28
彩虹六号白给集锦#2,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,网络游戏,BV1y7411Q7YQ,100000645,305,3,0,13,14,6,5,EXG_SV,,06:25,2020-03-28
梅姓第四代传人，男旦，有被惊艳到,"抖音
偶然刷视频看到",日常,BV1y7411Q7Y8,100000658,11,0,0,0,0,0,0,未晚君,#戏曲##男旦##国粹#,00:35,2020-03-28
【蒙娜丽慧】《动物之森》摇钱树篇,-,网络游戏,BV1y7411Q7Yk,100000654,175,0,0,0,0,0,0,蒙娜丽慧,#自制##日常##动物之森#,00:17,2020-03-28
颜色1,颜色1,日常,BV1y7411Q7YW,100000664,88,0,0,6,5,0,0,banqi0306,#自制##学习##教育#,51:43,2020-03-28
没有上学在家里了一个小土人,-,日常,BV1y7411Q7Yn,100000667,3,0,0,0,0,0,0,李湾3组DJ李夹心,#自制#,00:07,2020-03-28
龙之谷守卫巢穴，当年很头疼的巢穴，现在很简单啦,我在这里等你，来加个交流群一起交流一起玩：839325212,网络游戏,BV1y7411Q7en,100000673,42,0,0,0,0,0,0,一块双击会666的老铁,#网络游戏##龙之谷##DN#,01:43,2020-04-03
建议改成：标 准 结 局,-,搞笑,BV1y7411Q7es,100000677,6,0,0,4,6,2,0,PS26游戏姬,#高能##搞笑##搞笑视频#,02:31,2020-03-28
【吉他】你是人间四月天（只是跟着歌练琴，主要琴声是歌本身的）,-,演奏,BV1y7411Q7eg,100000683,138,0,0,2,0,0,0,格锂滋熳,#吉他##民谣##音乐#穿着最有青春记忆的高中校服，听着最舔最动情的爱情民谣，弹着吉他里最简单的四个和弦。,01:01,2020-03-28
麻雀-李荣浩,,音乐现场,BV1y7411Q7e7,100000684,9,0,0,0,0,0,0,皇室音乐,#李荣浩##MV##单曲#,00:30,2020-03-28
《痒痒鼠》云外镜彩蛋,我才发现！！！用心了用心了,桌游棋牌,BV1y7411Q7eN,100000688,6,0,0,0,0,0,0,大家一起来种思追,#痒痒鼠#,00:09,2020-03-28
[MCBE]无违规4×4活塞门展示。（先水个视频）|?˙?˙),-,单机游戏,BV1y7411Q7eP,100000689,132,0,0,11,2,4,0,FOG_mcRs,#MCBE# #红石# #REDSTONE#,00:35,2020-03-28
【张艺兴】小太阳视频社出品用偶像剧的方式打开《黄金瞳》全员向,用偶像剧的方式打开张艺兴的黄金瞳,影视剪辑,BV1y7411Q7eu,100000692,18,0,0,1,0,0,0,小太阳视频社,#张艺兴##黄金瞳##影视剪影#,01:32,2020-03-28
"山东移动式拆垛机器人,移动式机器人拆垛机","山东移动式拆垛机器人,移动式机器人拆垛机",机械,BV1y7411Q7e5,100000687,5,0,0,0,0,0,0,博新工业科技,#移动式拆垛机器人##移动式机器人拆垛机#,00:39,2020-03-28
都学课堂-管理类联考-逻辑-必要条件命题基本原理,,演讲? 公开课,BV1y7411Q7Y9,100000699,9,0,0,0,0,0,0,都学课堂官方,#公开课##演讲##MBA#,10:23,2020-03-28
所以到底谁渣？朋友让我remix淡黄的长裙,没事开心下,翻唱,BV1y7411Q7YR,100000698,52,1,0,8,2,0,1,Speaker食指,#RAP##音乐##说唱#,00:34,2020-03-28
詹姆斯打趣再也不敢击掌了,https://m.weibo.cn/6499653743/4487029649605654,运动,BV1y7411Q7a6,100000706,112,0,0,6,0,1,0,芝士字幕,#篮球##詹姆斯##NBA#,00:25,2020-03-28
《我想念你一如独自弹琴的忧伤》-尧十三（原曲）,网络资源,音乐综合,BV1y7411Q7a2,100000708,283,0,0,14,6,12,3,寒霜YN,#单曲##民谣##尧十三#,03:36,2020-03-28
这就是发烧了的大姨妈吗？爱了爱了,"今天是大姨妈的生日，祝她生日快乐。
ps:大姨妈发烧今天能不能好我不知道，但我感冒三天了还没好是真的",手机游戏,BV1y7411Q7ay,100000710,106,0,0,90,0,17,11,帝O皇,#创意综合赛道##崩坏3##德丽莎#,05:42,2020-03-28
【保罗乔治】白马长枪，球风飘逸!,www.youtube.com,运动,BV1y7411Q7av,100000719,353,0,0,5,1,1,1,投篮不戴镜,#保罗乔治##乔治##泡椒#,03:50,2020-03-28
古装剧美男，每一个都帅爆了，不仅有王一博肖战最帅的还是那个他,,明星,BV1y7411Q7ax,100000720,14,0,0,1,0,0,0,春娱乐启春,#娱乐##王一博##肖战#,03:11,2020-03-28
【法证先锋4】泪目。Queen终于直面自己的感情，深情告白国王。,大结局cut,影视剪辑,BV1y7411Q7ai,100000718,249,0,0,4,0,2,1,_ツ一颗小柠萌丫,#法证先锋# #经典# #TVB#,02:17,2020-03-28
【杨九郎｜淡黄的长裙 蓬松的头发】,-,明星,BV1y7411Q7at,100000726,977,0,0,26,0,6,1,阿西没有叭,#明星# #剪辑# #娱乐#,00:14,2020-03-28
5000干两万！谁都可以实现的完美黑苹果电脑装机经验分享,"几个会用到的教程链接：
放入EFI文件：https://sleele.com/2019/07/14/gettingstartedtutorial/#macOS（最后忘了说一步，把EFI文件从U盘放入硬盘，此教程中有说明）
生成随机三码：https://sleele.com/2019/03/21/smbios/
感谢GeQ1an、黑果小兵、sleele等一众大神的分享，谢谢你们！
这是我的第一期正式视频，今后会给大家带来更多有趣的个人生活分享，求关注~",电脑装机,BV1y7411Q7Y7,100000742,104469,287,0,4576,2686,6368,375,呱声一片,#装机##黑苹果##电脑#,07:11,2020-03-28
PAYDAY 2 - tag team perk deck = bad (gameplay),"https://youtu.be/BPWWAmHppLU
2020-03-27
// By :
 itsRydex
https://tinyurl.com/rewnx6o",单机游戏,BV1y7411Q7YM,100000751,258,0,0,24,1,2,0,TF2Video,,05:19,2020-03-28
东京海滨防灾公园cosplay,youtube,日常,BV1y7411Q7YA,100000756,17185,27,0,506,69,1210,73,YouTube精选合集,#COSPLAY##生活##动漫#,03:51,2020-03-28
用的是云电脑玩的，一定要看完。（记着三连呦）,-,电子竞技,BV1y7411Q7YF,100000759,29,0,0,2,0,1,0,bili_21401572245,#csgo##搞笑#,09:59,2020-03-28
我还没玩够呢 ！,-,手机游戏,BV1y7411Q7aS,100000761,18,0,0,1,0,0,0,伟小猫,#王牌战士##双子#,00:54,2020-03-28
女复制人被人类欺凌，同伴得知后，不惜发射导弹，摧毁人类整座城市,4分钟看动漫短片《银翼杀手2022》,综合,BV1y7411Q7PT,100000768,25,0,0,0,0,0,0,电波少女菜菜酱,#动画片##影评##全能打卡挑战#,04:19,2020-03-28
一枚果子努力学唱《无感》，初学Rap，请指教,-,翻唱,BV1y7411Q7PA,100000780,76,0,0,8,0,0,0,Amanda毓璟,#新人向##音乐##无感#,03:19,2020-03-28
崩坏3 德莉莎生日CG,-,手机游戏,BV1y7411Q7AU,100000786,2,0,0,1,0,0,0,Yuriko·Ω,#崩坏3# #德丽莎# #手游#,03:14,2020-03-28
传说对决#22 克莱斯精彩片段,-,电子竞技,BV1y7411Q7P6,100000800,47,0,0,2,0,0,0,YOscar,#传说对决##MOBA##游戏视频#,17:28,2020-03-28
火锅约起来,-,日常,BV1y7411Q7Pz,100000801,8,0,0,1,0,0,0,禾子先生灬,#VLOG##生活记录##火锅#,00:32,2020-03-28
爱玛电动车整车安装示范,"https://v.youku.com/v_show/id_XNDE1NDQ0MjA5Mg==.html?spm=a2h0k.11417342.soresult
爱玛电动车整车的安装示范，帮您骑上电动车。",汽车,BV1y7411Q7Pr,100000807,204,0,0,3,0,1,0,司马毅,,04:58,2020-03-28
四月即将来临，爱我的人却已离开。,我喜欢了你十年，却用整个四月，编制一个，我不爱你的谎言。---宫园薰,综合,BV1y7411Q7P8,100000810,35,0,0,7,0,0,0,酒鬼桃花仙,#四月是你的谎言##宫园薰##催泪#,01:00,2020-03-28
介绍动物句型,-,其他,BV1y7411Q7Pv,100000813,3,0,0,0,0,0,0,bili_32314175353,#英文学习#,00:19,2020-03-28
颜色2,颜色2,日常,BV1y7411Q7Pn,100000819,51,0,0,9,4,0,0,banqi0306,#学习##自制##教育#,45:09,2020-03-28
【王者荣耀】用斧头帮经典片段展示后裔削弱前后,新人up，视频有些出错，但还是求求求一键三连啊！！！！,手机游戏,BV1y7411Q7PV,100000826,24,0,0,5,2,1,1,即将成为大神的蛋卷,,03:34,2020-03-28
18岁的清新美女，让人感慨年轻真好~,"来源：www.youtube.com
搬运视频，喜欢的朋友可以点赞支持一下~非常感谢",其他,BV1y7411Q7AA,100000838,96,0,0,1,0,0,1,其实我是法海,#写真##美女##时尚#,05:00,2020-03-28
千钧一发,千钧一发,综艺,BV1y7411Q7AP,100000837,2230,1,0,13,0,0,2,真鯉,#日本##日本综艺##搞笑#,00:47,2020-03-28
生死狙击天狼星全程无伤单刷泰坦噩梦,,网络游戏,BV1y7411Q7Aw,100000839,1380,8,0,80,20,10,3,芷若星空,,13:08,2020-03-28
吃土日常【88】从一颗小种子开始长大的金鱼草开花了～,-,日常,BV1y7411Q7AX,100000790,37,0,0,2,0,0,0,玲姐不在此,#吃土# #生活记录#,00:28,2020-03-28
眼前的灿烂 惹动我 幻想着 看不见的未来,-,MAD·AMV,BV1y7411Q7wC,100000849,18,0,0,5,0,1,0,槐安吖,梦的翅膀。梦似繁华。一笑一颦似微风拂面。是你的眼眸你的一切微起心湖。如此让人心醉。,01:11,2020-03-28
山药薄片奶香蛋挞 | 伟龙食品美食DIY,,美食圈,BV1y7411Q7wr,100000851,11,0,0,0,0,0,0,伟龙零食俱乐部,#料理制作##蛋挞##制作教程#,00:56,2020-03-28
《假偶天成》哇～～爱情开始的地方！！原来是一撞钟情！！,-,影视剪辑,BV1y7411Q7wy,100000848,71,0,0,3,0,1,2,Ln六一,#假偶天成##泰剧##Sarawat#,00:13,2020-03-28
【关于最近海外留学生疫情相关事件的小想法】,【关于最近海外留学生疫情相关事件的小想法】我们个人的一些小想法，仅仅代表个人哦！,其他,BV1y7411Q7wU,100000852,36,0,0,2,4,2,0,pH3点5,#自制#,04:50,2020-03-28
Csgo小技巧,当做娱乐看看就好，实战中请勿使用！,网络游戏,BV1y7411Q7wv,100000857,17,0,0,1,0,1,1,亮白竹青,#网络游戏##电子竞技##第一视角#,00:25,2020-03-28
这个团歌唱实力真的。。。^^;(油管 ITZY wannabe 恶搞翻唱）,"https://www.youtube.com/watch?v=nzf4gO9VAM8
这个团歌唱实力真的很那个。。。^_+",翻唱,BV1y7411Q7w1,100000855,2396,6,0,11,0,2,0,矮子粉毛兔的一击,#恶搞##itzy##wannabe#,01:25,2020-03-28
免费的看视频软件推荐给大家,-,日常,BV1y7411Q7wY,100000859,399,2,0,3,0,0,0,影视通讯,#生活记录##学习##手机软件#,01:01,2020-03-28
只差B车国服半秒！星星火车站B车1:36:50,A车都不一定能跑到的记录……,手机游戏,BV1y7411Q7wz,100000861,47,0,0,11,8,2,2,几度繁秋,,01:53,2020-03-28
大二上期末完/吃火锅/喝酒酒/醉醺醺,"现在来看那个时候我就已经觉得很幼稚了........喝酒这些一点都不成熟，最大的影响就是伤害健康，酒不好喝，醉了也不会有什么新奇的感受。去酒吧这一类的为了快乐而去做的事情其实一点都不快乐，反而会让理智尚存的人觉得有点点搞笑。
少喝酒，少暴饮暴食，少放纵自己。
欲望是无穷尽的，还是往内收一收吧。
希望几年后还能跟这个片子里的朋友们一起吃饭~~~",日常,BV1y7411Q7Aq,100000869,31,0,0,1,1,1,1,多宝鱼killer,值得纪念。,02:49,2020-03-28
怪物猎人 冰原  斗技场 MOD 有3月26号新前置,"前置 网盘链接：https://pan.baidu.com/s/1899WNMMgd-HztAmZcw-32w 
提取码：a3mb
MOD 网盘链接：https://pan.baidu.com/s/1wCdWaNoRbJ15SdQmNGcEIQ 
提取码：q80p",单机游戏,BV1y7411Q7A8,100000876,1810,0,0,93,74,90,22,windows9975,#怪物猎人##MOD##斗技#,01:35,2020-03-28
MV我还是我（填词《wolves》）,"[00:02.00]原歌：wolves
[00:03.10]作曲：Selena Gomez/Marshmello/Andrew Wotman/Alexandra Tamposi
[00:04.10]填词：石中天
[00:05.10]代唱：万里阳光
[00:06.10]视频：石中天
[00:07.10]个人爱好,非为盈利;如有侵权,敬请告知


寒山问拾得：世间有人谤我、欺我、辱我、笑我、轻我、贱我、骗我，如何处治乎?
拾得曰：只是忍他、让他、由他、避他、耐他、敬他、不要理他，再待几年你且看他。",翻唱,BV1y7411Q7Ax,100000872,13,0,0,0,0,0,0,skyinstone,#MV##男声##治愈向#,03:22,2020-03-28
【如何说格鲁吉亚语的你好？】格鲁吉亚语字母表 第一部份,"大家好，我是Tamo, 这次会介绍7个格鲁吉亚语里的字母，分别是7个字母(A,B,G,M,O,R,J) 和4个单词:Maro,Gaga,Gogo, Mama ) 并用这4个单词造一些简单的句子 

如果大家有兴趣了解格鲁吉亚语和文化 可以关注我的频道和微博:格鲁吉亚当地导游翻译Tamo",日常,BV1y7411Q7Ap,100000875,151,5,0,17,10,4,1,TAMO塔玛尔,#VLOG##汉语##歪果仁#,03:50,2020-03-29
(>^ω^<),(///▽///),VOCALOID·UTAU,BV1y7411Q7A4,100000879,7,0,0,0,0,0,0,hhlllkkloo,"(///▽///)
",00:31,2020-03-28
【海贼无双4】杰尔马66 全员攻击方式,"有点小失望 兄弟的攻击方式基本一致 虽然特殊技挺多的 不过就是基本上各只有3个自己的招式 其他都是叫另一个兄弟出来打
有什么遗漏的尽管说，尽力补
其他角色的 凯多篇：av100048966   七武海系列：av100259360   BigMom篇：av99692324 
草帽一伙 两年前：av100576848   多佛朗明哥系列：av100652834 白胡子系列：av710002472
草帽一伙 两年后：av327594810   海军全员：av795011584",单机游戏,BV1y7411Q7AJ,100000886,4475,4,0,56,27,34,3,咲霏霏,,16:17,2020-03-28
网易再次称霸二次元？最新拟人小姐姐手游《幻书启示录》试玩，《阴阳师》再战10年！,-,手机游戏,BV1y7411Q7AH,100000884,92163,597,0,1457,98,317,412,游戏策划小冬,#手机游戏##幻书启示录##网易游戏#,14:50,2020-03-28
【守望先锋/踩点】那些年我所玩过的c,-,GMV,BV1y7411Q7Ag,100000895,39,0,0,7,8,3,4,限号hxd,#混剪##踩点##暴雪#,01:02,2020-03-29
祝德莉莎生日快乐[tv_斜眼笑][tv_,祝德莉莎生日快乐[tv_斜眼笑][tv_斜眼笑]#德莉莎#,日常,BV1y7411Q7cX,100000898,7,0,0,0,0,0,0,你皮不过我吧,祝德莉莎生日快乐[tv_斜眼笑][tv_斜眼笑]#德莉莎#,04:00,2020-03-28
自我介绍,"大家好，我是麦穗，性别女
于2020年1月25日被麻麻收养
我性格乖巧（麻麻天天晚上蹂躏我[捂脸R]）
不挑食（不吃完麻麻不给我新的[哭惹R]）
是一个五个月的美少鼠。   请多多指教！",动物圈,BV1y7411Q7cd,100000903,28,0,0,1,2,0,0,穗栗子,#仓鼠##卖萌##萌宠#,00:13,2020-03-28
浓密的眉，高挺的鼻，绝色的口唇，张扬着高贵与优雅。,帅哥~ 浓密的眉，高挺的鼻，绝色的口唇，张扬着高贵与优雅。,健身,BV1y7411Q7cD,100000908,83,0,0,1,0,0,0,帅哥World,#健美##帅哥#,00:08,2020-03-28
【合作转载】IP小站×葩葩酱Ouo-片尾有福利!!拆kimmy&Miki和lulu猪 拆盲盒!,"https://www.bilibili.com/video/av71306305
【合作转载】IP小站×葩葩酱Ouo-片尾有福利!!拆kimmy&Miki和lulu猪 拆盲盒!
合作拆箱UP主：葩葩酱Ouo，av71306305
更多福利，请关注IP小站，喜欢的话请长按点赞三连，等你来哦！",日常,BV1y7411Q7ci,100000914,8,0,0,0,1,0,0,IP小站,#kimmy&miki##lulu猪##IP小站#,02:42,2020-03-28
如果在沙鲁篇悟空和贝吉塔会融合,-,单机游戏,BV1y7411Q7ck,100000916,85,0,0,5,0,0,0,索少牛逼,#贝吉塔##悟空##七龙珠#,03:19,2020-03-28
来和池田依来沙猜拳吧~,池田 エライザ - 家活してます。,明星,BV1y7411Q7ct,100000922,191,0,0,6,2,5,0,AlexFerguson,#池田依来沙##女神##美女#,00:07,2020-03-28
模仿卢本伟的项真爽居然是一年级学生，B站网友：那没事了,-,日常,BV1y7411Q7c4,100000923,971,13,0,17,2,3,2,侧闻KKSK,#全能打卡挑战##卢本伟##项真爽#,00:49,2020-03-28
2019首尔汽车沙龙周模特KINTEX,youtube,日常,BV1y7411Q7cY,100000925,3535,2,0,54,1,319,1,YouTube精选合集,#车展##性感##车模#,02:53,2020-03-28
经常放屁是肠癌警示吗？这几个症状才是肠癌信号，赶快去医院检查,经常放屁是肠癌警示吗？这几个症状才是肠癌信号，赶快去医院检查,日常,BV1y7411Q7wt,100000928,69,0,0,1,2,0,0,青黛养生,#VLOG##生活记录##生活#,01:54,2020-03-28
【蒙娜丽慧】《动物之森》挖树篇,-,网络游戏,BV1y7411Q7wa,100000932,156,0,0,0,0,0,0,蒙娜丽慧,#网络游戏##动物之森##游戏视频#,00:16,2020-03-28
【墨安白】《黑暗料理王》厨王小白做的饭，你敢吃嘛？,来，张嘴，啊~,手机游戏,BV1y7411Q7wh,100000933,45,0,0,10,8,2,1,墨安白白白白白,#手机游戏##黑暗料理王##萌新#,10:28,2020-03-28
【崩3大百科】多角度解析80级要不要开锁,早开早超限，晚开晚挨打。,手机游戏,BV1y7411Q7w7,100000938,8524,29,0,362,35,38,12,火字,#手机游戏##游戏练级挑战##崩坏3RD#,04:38,2020-03-28
有仇必报赵子龙，滴水之恩涌泉报,小小卤蛋可笑可笑,电子竞技,BV1y7411Q7w5,100000949,12,0,0,6,3,1,0,奶盖吃不饱,#bilibili新星计划##赵子龙##电子竞技#,09:46,2020-03-28
侠盗猎车手5 GTA5 第92集,侠盗猎车手5 GTA5 第92集 游戏视频,单机游戏,BV1y7411Q7wG,100000951,9,0,0,0,0,0,0,WZB828,#单机联机##单机##游戏视频#,29:15,2020-03-28
大  佬  发   言,"本期视频是我当up主一周年为大家带来的良心巨作[滑稽]，请了许多的外援up主
本视频特别鸣谢：（排名不分先后）
又双叒叕路过的evolto
坚强不屈的诺基亚
一只天上的大萝卜
火焰伊布
等人
这些素材都是群友们搜集来的，是各个up主的骚话，因为我之前的视频也涉及到了其他的up主，但是涉及面并不广泛，这次，就尽力的让很多up主出镜了，也算是我对他们的一次感谢的提现吧，这期视频如果有什么问题欢迎提出来，喜欢，就点个赞吧！
资源获取群：828387797
片头片尾《诸神的奥运》出自AV78977080
别告诉我AV号没有了，这是我之前保存的，当时没有更新BV号～",网络游戏,BV1y7411Q7wc,100000954,2721,19,0,341,44,49,17,水边的皮卡,"#游戏练级挑战##部落冲突皇室战争##皇室战争#据说三连会涨欧气嗷～
呕心沥血之作，求各位支持一波啊",03:07,2020-03-29
想起你 Souvenance De Toi,瑞士知名音乐家 Alain Morisod 的原创佳作,演奏,BV1y7411Q7wP,100000959,26,1,0,3,0,2,1,流行也精彩,#音乐##独奏##钢琴曲#,03:14,2020-03-28
想要神恩结果歪到姥姥家了,"封面是另一个号。。。。
这个号是真的非，连歪都不歪，另外这个号评论区抽个人送了",手机游戏,BV1y7411Q7FQ,100000965,1012,7,0,28,0,1,1,和泉纱雾de哥哥,#抽奖##崩坏3##非酋#,03:38,2020-03-28
一个八赛季A丑训练日常,一百多这锯有延迟 我手机快带不动小丑辣，延迟锯子很难受的，丑皇应该都明白，我手已经转过来了小丑还没有。,手机游戏,BV1y7411Q7cq,100000913,28,0,0,4,2,1,0,石牙野猪,#小丑##攻略##教学#,03:40,2020-03-28
银  色  的  灵  魂,视频素材源自于优酷,综合,BV1y7411Q7Fm,100000961,550,29,0,58,6,13,2,瑶啊瑶yry,#银魂##综漫##剪辑#,03:19,2020-03-28
犯人就是我5  这游戏到了最后怎么紫了？？？,,单机游戏,BV1y7411Q7FB,100000970,9,0,0,1,0,1,0,清瑾kawayi,#单机联机##实况解说##独立游戏#,57:46,2020-03-28
【日常VLOG】隔离日记 | 在北京宾馆的隔离生活是怎么样的？孤独且自律,"一个人在这么小的房间内呆14天 
听起来其实还挺难的 但我更享受这种状态吧 
你很少会有这种可以让自己随意安排的时间
尤其是毕业进入社会 开始上班之后 生活就变成了不断忙碌的奔走着
虽说会孤独 但你获得了与自己独处的宝贵时间
终于有时间了解自己想要的 思考眼下该做的
学习 运动 刷剧 读书 孤独且自律的生活着
无形之中 这也算是一种进步吧",日常,BV1y7411Q7Fb,100000979,23,0,0,1,2,0,0,_啊啊啊啊哲,#加油2020-VLOG挑战##隔离日记##VLOG日常#,03:57,2020-03-28
【逃离塔科夫 fairTX】逃 不 离 的 塔 科 夫 - Escape From Tarkov,"搬运自https://www.youtube.com/watch?v=KfomIURxOFM
希望你喜欢 ：）
如果可以的话~求一波关注！硬币！点赞！收藏！分享！投食！呐呐呐！UP需要你们的关爱！
逃离塔科夫交流及粉丝群：852079831
Go to https://buyraycon.com/fairtx for 15% off your
order! Brought to you by Raycon.

Most often than not, Escape From Tarkov is unforgiving. This video shows how most of my raids go. Enjoy!

????Merch ● https://freshmerch.fm/collections/fairtx
???? Twitch ● twitch.tv/fairtx
????? Follow me on Instagram!
https://www.instagram.com/fairtx_
???? Subscribe if you like my content!
https://www.youtube.com/channel/UCVdd...
???? Support me on Patreon ● https://www.patreon.com/fairTX
???? Twitter ● https://twitter.com/fairTX_BP
???? Join the discord ● https://discord.gg/SuV5R8x

Escape From Tarkov Playlist ????
https://www.youtube.com/watch?v=_nV5H...

Music by Jippy
https://jippy.bandcamp.com/

Production music is the property of EpidemicSound

Escape from Tarkov is a realistic online first-person action RPG/Simulator with MMO features and a story-driven approach, currently in development and published by Battlestate Games.

Get Escape From Tarkov here! 
https://www.escapefromtarkov.com/preo...",网络游戏,BV1y7411Q7F8,100000978,708,3,0,24,4,5,2,JohnErwinKurr,#ESCAPEFROMTARKOV##逃离塔科夫##fairTX#,21:43,2020-03-28
宝妹教了两次就会握手了，谁还说土狗笨[吃,宝妹教了两次就会握手了，谁还说土狗笨[吃瓜][吃瓜][吃瓜],日常,BV1y7411Q7Fp,100000985,15,0,0,1,0,0,0,Shinobi宝妹,宝妹教了两次就会握手了，谁还说土狗笨[吃瓜][吃瓜][吃瓜],00:12,2020-03-28
真爱啊~男孩查出有绝症怕耽误女友，做出了一件令人痛心的事！,-,综艺,BV1y7411Q7F4,100000989,53,0,0,0,0,0,0,bili文艺卷,#真爱# #关于爱情# #现在就告白#,00:46,2020-03-28
荣耀,纯属娱乐,电子竞技,BV1y7411Q7Fn,100000987,2,0,0,1,1,0,0,暮烟之殇,#快剪辑#,01:22,2020-03-28
红色高跟鞋,,音乐现场,BV1y7411Q7cH,100000992,45,0,0,0,0,0,0,皇室音乐,#红色高跟鞋##MV##女神#,00:25,2020-03-28
鹿晗黄子韬搞笑视频,"新浪微博
期待创三！！！到时候整集节目就听几个导师在那儿叭叭个没完",明星,BV1y7411Q7cs,100000997,83,0,0,4,1,1,0,搬运处工头,#鹿晗##明星##黄子韬#,00:16,2020-03-28
